3131 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x598980000000, nodemask=2)
3131 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x32a480000000, nodemask=1)
# vendor=nvidia-nvidia-h100-80gb-hbm3-sm_90a commit=ca1db54510cffca1cbda5f6716b7e7149736e496 (commit.txt)
# identity_break  mode=identical  2026-09-14 01:12:56  Linux-6.8.0-106-generic-x86_64-with-glibc2.35
# per lane: the train row, then an `infer` row (held-out rows) and a `model` row (saved bytes) where the lane has them
| lane                   | base             | ties             | hashed           | wide             | denormal         | denormal_ftz     | dupes            | odd              | negative         |
|------------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|------------------|
| rf-clf                 | 21178dc5457bf5dc | 578c313bdad14449 | 30000a54b1ebf87f | e57dc48ebb4fda48 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 941ea7485b906b92 | 8eadf0d0c523cf9a | 5c321c2a1e99f705 |
| rf-clf infer           | 3b30324dc0a909d3 | 122d0397afe9bc84 | 95452dea53316b5c | 576ce8ec7833b38d | 1f873a2912989c6e | 1f873a2912989c6e | f7836c254af7cb78 | e067dff805be210f | a8494465884e646a |
| rf-clf model           | ed1592a2b0ab1658 | 2d8da1cf56084257 | 4acba627d01b9da9 | 76cb8029f7d6dc47 | ba7e1f6d84593ce4 | ba7e1f6d84593ce4 | a481d93b96bec8af | 2b4df5c88d1f8be8 | 58fcd13c13e9de79 |
| rf-reg                 | f032017cfd1c73dd | ec6e7b28cd0d16a9 | c755113ac878c8b9 | 8d9b05172d7a3777 | feed3869ba06eaf7 | feed3869ba06eaf7 | 55f5becd2a3a172c | 33f207a8fab32866 | cd81c456c75aaaf0 |
| rf-reg infer           | 16465c479f279614 | 9e088d6c6c1bf54b | c451d1194f8c47f5 | 1dddbff05a6645de | f2dbdf86d13054aa | f2dbdf86d13054aa | 76d74b876471a685 | c297fa86d8e8923e | b8e07686422213e6 |
| rf-reg model           | ee1ec176625ae198 | a35ee93f7a000cbd | 3ce6c16334ce58a2 | f252dc1602084e7d | 477f1583967a6e80 | 477f1583967a6e80 | 1836f0b40183be27 | 95f31ab2b2ce0d0e | 9deda76973ef536f |
| et-clf                 | c586b27a3b049614 | 604f59c7a4203eeb | eb7aaadcd0843a6d | ee8b318d6bf698b2 | b40377fb35e52909 | b40377fb35e52909 | a24dcc8a93f699ff | 1da918353bb9f10e | e1409786c462d97b |
| et-clf infer           | b728e73e5f84514c | 7aa541bcca22b6fd | 122107c8d8ef1916 | a5387ead8aca6bb0 | df1046f889386ad8 | df1046f889386ad8 | 55bed611333bec41 | 518eb1a0b0211a91 | 2b7903f4728bb9c0 |
| et-clf model           | 58a53490a62fba59 | e63de8292d8384e4 | 94580dd625aaa11a | f792edfcd53b6aff | 5d348c7133844b3e | 5d348c7133844b3e | ff82d3ce7bd5651f | ed0c7e9a34735dbd | 974e58a34d03e07b |
| et-reg                 | 754d8c127ecfc04d | e7072e1c8fe0083c | 4e0a0d9a4670ed5f | b745e53515f59cac | 19a23f6fea44befd | 19a23f6fea44befd | 9a63fea590f79a67 | c9fe7c90673c2661 | 3fd3dff94cc79fc2 |
| et-reg infer           | f67822ca39ef408b | 25c3d08ea7aaac22 | 1ddc98bb1d441cac | 62bb5a2df07afdb7 | 406ff2c63a669110 | 406ff2c63a669110 | a531191ff80bfa39 | 27c45b87272bc27f | 9579a3dac3b9af8b |
| et-reg model           | 1c0c6b20cc9be5bd | 0ae34e3bcc2b7391 | 029c99465d40dd66 | 6da81ae280958f67 | 8704471f45cc32d6 | 8704471f45cc32d6 | d99a54bf0717266d | d631aaa061d3f2e4 | 34d9143f7fc1fec7 |
| gbdt-symmetric         | 56560dec5bdb6cb9 | b32c469f812adf25 | cf3de2636433b65a | bc0084b9b1e30f87 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 9d55545ce5f2ac2b | 0836bd47530040d0 | fb9966f26639c286 |
| gbdt-symmetric infer   | e1db044dc82354ac | e71542e71394acc3 | 548cebaf2b1310eb | 9f7630d079f43f07 | e1db044dc82354ac | e1db044dc82354ac | 04bc7278a6524318 | 24dbd6988a519e0c | 3d7847393c2eeeed |
| gbdt-symmetric model   | ee776c33f052679a | d01adab1226baf49 | 24d9422c46dcfff9 | 1cdaebf93c86aa45 | 4f2c8b24bbe2eb42 | 4f2c8b24bbe2eb42 | 534330823f304849 | 3dfdadfd1961d2b5 | 145ac848bbea01ba |
| gbdt-depthwise         | 38726fc0c93c0bff | 465cb10f303e005a | 9455870882645f48 | 2a77ec865e62539a | 64ba350c759ff2e9 | 64ba350c759ff2e9 | e521424a96e216cb | fb9e5c03088814f6 | d77fc9f6a3eee0a2 |
| gbdt-depthwise infer   | 688bf9a8e927232e | e299a1457dfaedc7 | d11cf64a629bd4fb | 65e906e50a54735e | 7b73dadeb43db4cf | 7b73dadeb43db4cf | fc255cbff38ea320 | 4ee637393df9aff7 | ddaa5cebdc9c1484 |
| gbdt-depthwise model   | 448c1bcf37ffdc97 | ef4323cc40bbfd0a | 80b172e1332f9dd9 | 38d9c484d12b1f01 | a5f5c6eac0c3732c | a5f5c6eac0c3732c | ca399349c402761a | e4f63fb009a0a7b5 | 9c2f348d3bf8e73c |
| gbdt-lossguide         | bc3017cb29615105 | 19d199f7bfa16c25 | 3841103ecb3ac05d | b9cc1b2b55425cdc | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b1546f9b3c4293a5 | 9fd309c55a93e6c3 | 67b332fcf8b5d0dd |
| gbdt-lossguide infer   | 38894a4992494eec | 37cf90363e2078cf | 6ad2edafdef76901 | 95431b9721836309 | 11691f0c929f3421 | 11691f0c929f3421 | 48a2422d07d569e8 | c61553f78e6fb798 | d3535f6580f644c7 |
| gbdt-lossguide model   | 9e01e18241859f87 | 3653934f21f61d9d | efe7e6ef1fe94f1e | 0b24cabbdbb1f867 | cb45b0cc2830737b | cb45b0cc2830737b | 8c51a41b08c13e13 | 7393593a5fb3ed79 | f2f295f6c2c1929d |
| gbdt-rmse              | 3f8aef8d73be249c | 88cba1574daa922e | a89dba586c0f1ab4 | 5ea3a06d9df1d862 | 400f099e655dc453 | 400f099e655dc453 | 49848bfd3c26b52e | 7b54ca9d69e29714 | e54f74cdab3f29f0 |
| gbdt-rmse infer        | ba6284898fcd7adb | 4044415de3b73aee | b79afaae27b8bdb6 | 3f008ec3ab37ef2f | 86db747723f31263 | 86db747723f31263 | da755bd965b6c511 | 88f9e64eea1b35df | 2f7db100a96ca46b |
| gbdt-rmse model        | 6a7e0d174aadda21 | b1eb77816b7f439a | e11795530a351b48 | 153340671f3c1919 | 70624119eb3559b1 | 70624119eb3559b1 | d9198fa372812bc0 | 7a0ea772f0108d40 | 70b2f95595d7194e |
| kmeans                 | 5aa44cc11034dec9 | 3de3e103006de69c | 0a570e84b0002723 | 6f0529fcb3d60536 | 993fe5caff144b0c | 993fe5caff144b0c | 2ae942d45a51757a | 43d8a3d3859f4143 | d4cc38e75f8e2d75 |
| knn                    | 6869ae45e01fcb7a | 23daf3a923d4c74f | 96db6b5a57d4d248 | 3956d623d56e1786 | c5404ea40ba502da | c5404ea40ba502da | 55dffcfe5d6aa112 | f4ddd08c4744ae8d | b73513bc451075d0 |
| knn infer              | da53642fe53493ad | 234e9e649f45c983 | 906e8d5ef7d91305 | 3173e563e425be1c | 32426a86a46b417f | 32426a86a46b417f | 6776f2a2ef1528ee | ef7c64cd35cc99ad | aa5dd33322e1cb78 |
| knn-clf                | 7fb71bb7ee2b9cbf | e49edb14ac08e443 | 9ddcb99c00d6b865 | a3167e29faf6ab4f | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | 855703a33d6460e5 | b875a97832653115 | 14109bcae1b2b950 |
